Index	Tanggal	Kategori	Tema	Pertanyaan	Jawaban	Dasar Hukum	Editor
183061	08 Maret 2022	Tanya-SC	PPh	mau tanya aja. Semisal dapat uang amplop nikahan itu masuk pendapatan kena pajak apa ga? Di spt di isi di kolom mna? Thx	Halo fin, definisi objek Pajak pada UU PPh sttd UU HPP, untuk yang dikecualikan pada Pasal 4 ayat (3), lebih lengkapnya untuk bantuan atau sumbangan, serta harta hibahan yang dikecualikan dalam objek PPh ada dalam PMK-90/PMK.03/2020, apabila tidak termasuk objek yang dikecualikan dan tidak ada dalam PMK-90/2020 maka menjadi objek pajak dan masuk ke penghasilan pada SPT tahunan karena tidak ada unsur pemotongan dan pemungutannya. Tambahan : cluster PPh untuk Tahun Pajak 2021 masih memakai UU 11/2020 tentang Cipta Kerja, sedangkan untuk Tahun Pajak 2022 sudah memakai UU 7/2021 tentang Harmonisasi Perturan Perpajakan. Apabila masuk objek pajak, di spt tahunan OP bisa dimasukkan di penghasilan neto dalam negeri lainnya yg penghasilan lainnya.	Halo fin, definisi objek Pajak pada UU PPh sttd UU HPP, untuk yang dikecualikan pada Pasal 4 ayat (3), lebih lengkapnya untuk bantuan atau sumbangan, serta harta hibahan yang dikecualikan dalam objek PPh ada dalam PMK-90/PMK.03/2020, apabila tidak termasuk objek yang dikecualikan dan tidak ada dalam PMK-90/2020 maka menjadi objek pajak dan masuk ke penghasilan pada SPT tahunan karena tidak ada unsur pemotongan dan pemungutannya. Tambahan : cluster PPh untuk Tahun Pajak 2021 masih memakai UU 11/2020 tentang Cipta Kerja, sedangkan untuk Tahun Pajak 2022 sudah memakai UU 7/2021 tentang Harmonisasi Perturan Perpajakan. Apabila masuk objek pajak, di spt tahunan OP bisa dimasukkan di penghasilan neto dalam negeri lainnya yg penghasilan lainnya.	RIGAR TABAH PRIMADANA
183062	08 Maret 2022	Tanya-SC	PPN	Min @kring_pajak mau tanya, ada peraturankah terkait pembelian barang dagang dari non pkp, untuk dijual oleh PKP dan diterbitkan faktur pajak? Terima kasih Mas/Mba ini tidak ada peraturan khususnya kan ya ?	Iya gak ada aturan khususnya fis, secara umum penyerahan bkp yg dikenakan PPN ada di penjelasan pasal 4 ayat (1) huruf a UU PPN sttd UU Cika.	Iya gak ada aturan khususnya fis, secara umum penyerahan bkp yg dikenakan PPN ada di penjelasan pasal 4 ayat (1) huruf a UU PPN sttd UU Cika.	RIGAR TABAH PRIMADANA
183063	08 Maret 2022	Tanya-SC	PPh	Pagi kak @kring_pajak jika ada trx berupa bonus gathering yang berwujud emas batangan ke karyawan tetap.. perlakukan perpajakannya thdp karyawan yg menerima dikenakan pajak pph final kah ? mengacu regulasi perpajakan atas apa ya ? mas/mba, ini masuk ke natura kan ya?	Iya yol bisa masuk ke natura, nanti dikembaliin ke wp atas bonus gathering yang berwujud emas batangan ke karyawan tetap yg dimaksud wp ini merupakan hadiah atau penghargaan perlombaan, penghargaan, dan hadiah sehubungan dengan pekerjaan, jasa, dan kegiatan lainnya yg diatur di per-11/2015(kalo op kena 21) atau bonus yg masuk definisi Penghasilan Pegawai Tetap yang Bersifat Tidak Teratur di per-16/2016. Untuk natura, sesuai UU HPP kan jadi objek kecuali yg diatur di pasal 4 ayat (3) huruf d, seharusnya mulai per 1 Januari 2022 tetep kena PPh 21, tapi sampai saat ini memang belum ada aturan turunan yg mengatur natura.	Iya yol bisa masuk ke natura, nanti dikembaliin ke wp atas bonus gathering yang berwujud emas batangan ke karyawan tetap yg dimaksud wp ini merupakan hadiah atau penghargaan perlombaan, penghargaan, dan hadiah sehubungan dengan pekerjaan, jasa, dan kegiatan lainnya yg diatur di per-11/2015(kalo op kena 21) atau bonus yg masuk definisi Penghasilan Pegawai Tetap yang Bersifat Tidak Teratur di per-16/2016. Untuk natura, sesuai UU HPP kan jadi objek kecuali yg diatur di pasal 4 ayat (3) huruf d, seharusnya mulai per 1 Januari 2022 tetep kena PPh 21, tapi sampai saat ini memang belum ada aturan turunan yg mengatur natura.	RIGAR TABAH PRIMADANA
183064	08 Maret 2022	Tanya-SC	PPh	wp buat billing disitu, trus keburu kadaluwarsa blom sempet bayar. bisa diklik yg itu lagi atau submit form pps lagi trus baru bisa buat billing disitu lagi?	"Bisa coba buat diklik lagi ya mas yg ""belum, saya akan membuat kode billing di sini"" kalo ternyata memang gak tergenerate billing baru atau masih billing sebelumnya yg udah expired, bisa saranin dulu klik pilihan yg ketiga yg kode billing dibuat secara mandiri di luar aplikasi pps, nanti bikin billing di ebilling. Kalo misal wp maunya billingnya dari aplikasi pps udah coba cara di atas masih munculnya billing expired, iya mas hapus draft submit ulang eformnya(eformnya unduh lagi juga)."	"Bisa coba buat diklik lagi ya mas yg ""belum, saya akan membuat kode billing di sini"" kalo ternyata memang gak tergenerate billing baru atau masih billing sebelumnya yg udah expired, bisa saranin dulu klik pilihan yg ketiga yg kode billing dibuat secara mandiri di luar aplikasi pps, nanti bikin billing di ebilling. Kalo misal wp maunya billingnya dari aplikasi pps udah coba cara di atas masih munculnya billing expired, iya mas hapus draft submit ulang eformnya(eformnya unduh lagi juga)."	RIGAR TABAH PRIMADANA
183065	08 Maret 2022	Tanya-SC	PPN	https://twitter.com/Yola2909/status/1501023060077740034 Mas/Mbak ini boleh langsung dijawab Ya betul/dijelaskan apabila termasuk dalam barang kebutuhan pokok yang sangat dibutuhkan oleh rakyat banyak pada Pasal 16B ayat 1a UU HPP PPN?	Bisa jelasin aja mbak kalo barang kebutuhan pokok yang sangat dibutuhkan oleh rakyat banyak merupakan barang yang terutang PPN dengan fasilitas tidak dipungut sebagian atau seluruhnya atau dibebaskan (pasal 16B UU HPP bagian PPN). Sampai saat ini belum ada aturan turunan dari UU HPP cluster PPN sehingga belum bisa diberikan rincian detail dari kebutuhan pokok yang dimaksud. Silakan disampaikan juga, UU HPP bagian PPN ini baru mulai berlaku 1 April 2022.	Bisa jelasin aja mbak kalo barang kebutuhan pokok yang sangat dibutuhkan oleh rakyat banyak merupakan barang yang terutang PPN dengan fasilitas tidak dipungut sebagian atau seluruhnya atau dibebaskan (pasal 16B UU HPP bagian PPN). Sampai saat ini belum ada aturan turunan dari UU HPP cluster PPN sehingga belum bisa diberikan rincian detail dari kebutuhan pokok yang dimaksud. Silakan disampaikan juga, UU HPP bagian PPN ini baru mulai berlaku 1 April 2022.	RIGAR TABAH PRIMADANA
183066	08 Maret 2022	Tanya-SC	E-Faktur	Ini ada penjualan di kawasan bebas dan butuh faktur 07. Ketika saya upload selalu gagal/reject. Padahal saya sudah update e-faktur 3.1.0.0 tapi katanya disuruh update ke e-faktur 3.1.0.1. nah untuk update e-faktur 3.1.0.1 bagaimana ya min? Mohon bantuannya https://twitter.com/zakariyaala/status/1500755104256827397	Informasi terakhir untuk versi 3.1.0.1 sudah ada patchnya, namun blm diupdate di enofa, jadi sementara sarankan wpnya minta patch efaktur 3.1.0.1 ke kpp ya mas. Kucoba donwload patch yg di enofa untuk etaxinvoicemainnya versi aplikasinya masih 3.1.0.0. boleh ditanya juga untuk kendala gagal uploadnya bagaimana.	Informasi terakhir untuk versi 3.1.0.1 sudah ada patchnya, namun blm diupdate di enofa, jadi sementara sarankan wpnya minta patch efaktur 3.1.0.1 ke kpp ya mas. Kucoba donwload patch yg di enofa untuk etaxinvoicemainnya versi aplikasinya masih 3.1.0.0. boleh ditanya juga untuk kendala gagal uploadnya bagaimana.	RIGAR TABAH PRIMADANA
183067	08 Maret 2022	Tanya-SC	E-Faktur	Apa yg harus kami lakukan jika saat upload e-Faktur error ETAX-API-10030:Bukan Merupakan Dokumen Penyerahan BKP atau JKP https://twitter.com/ma_aji_sugianto/status/1500751425907085312	Sambil konfirmasi ya mas apakah ini pada saat upload fp 07 kawasan berikat di efaktur 3.1? Apabila iya, untuk penyerahan ke kawasan berikat agar dapat fasilitas tidak dipungut harus ada SPPB sesuai PMK 65/2021. SPPB ini dari BC, kita sinkron data ke bc. SPPB tersebut nanti dilapor di efaktur dan divalidasi sistem, dan yang dapat divalidasi hanya jenis penyerahan 1 (penyerahan bkp) dan 2 (penyerahan jkp), selain itu reject etax api 10030. Jika WP salah memilih jenis transaksi, maka WP dapat berkonsultasi ke KPBC penerbit sppb tersebut.	Sambil konfirmasi ya mas apakah ini pada saat upload fp 07 kawasan berikat di efaktur 3.1? Apabila iya, untuk penyerahan ke kawasan berikat agar dapat fasilitas tidak dipungut harus ada SPPB sesuai PMK 65/2021. SPPB ini dari BC, kita sinkron data ke bc. SPPB tersebut nanti dilapor di efaktur dan divalidasi sistem, dan yang dapat divalidasi hanya jenis penyerahan 1 (penyerahan bkp) dan 2 (penyerahan jkp), selain itu reject etax api 10030. Jika WP salah memilih jenis transaksi, maka WP dapat berkonsultasi ke KPBC penerbit sppb tersebut.	RIGAR TABAH PRIMADANA
183068	09 Maret 2022	Tanya-SC	PPN	untuk aplikasi INSW yang membuat sebagai penjual atau pembeli ?	Transaksinya pemasukan jasa ke kawasan bebas. Nanti bisa dijelasin atas transaksi WP mendekati masuk pmk-173/2021 pasal 28 yg ayat berapa. Di pasal 29 yg harus membuat PPBJ adalah untuk yg Pasal 28 ayat (1), ayat (3), ayat (5), dan ayat (8). Pengusahadi KPBPB yang bermaksud memperoleh BKP-TB dan/atau JKP dari pengusaha di TLDDP/TPB, pelaku usaha di KEK, atau Pengusaha di KPBPB lainnya harus membuat PPBJ. (yg ngurus PPBJ di insw si pembeli). Pada saat sosis untuk pasal 28 ayat (4) nanti memang dapetnya fasilitas dibebaskan atau fp 08.	Transaksinya pemasukan jasa ke kawasan bebas. Nanti bisa dijelasin atas transaksi WP mendekati masuk pmk-173/2021 pasal 28 yg ayat berapa. Di pasal 29 yg harus membuat PPBJ adalah untuk yg Pasal 28 ayat (1), ayat (3), ayat (5), dan ayat (8). Pengusahadi KPBPB yang bermaksud memperoleh BKP-TB dan/atau JKP dari pengusaha di TLDDP/TPB, pelaku usaha di KEK, atau Pengusaha di KPBPB lainnya harus membuat PPBJ. (yg ngurus PPBJ di insw si pembeli). Pada saat sosis untuk pasal 28 ayat (4) nanti memang dapetnya fasilitas dibebaskan atau fp 08.	RIGAR TABAH PRIMADANA
183069	09 Maret 2022	Tanya-SC	PPN	Revisi dokumen PPBJ yg belum dibuat faktur pajak apakah bisa direvisi? Itu klo nanya ppbjnya konfirm INSW-nya ya?	Ini PPBJnya atas transaksi ke kawasan bebas yang bagaimana? di pmk-173/2021nya ada disinggung mengenai pembetulan PPBJ, sepanjang masuk syarat disitu seharusnya bisa dilakukan pembetulan. Untuk nanya mengenai PPBJnya iya bisa konfirm ke inswnya.	Ini PPBJnya atas transaksi ke kawasan bebas yang bagaimana? di pmk-173/2021nya ada disinggung mengenai pembetulan PPBJ, sepanjang masuk syarat disitu seharusnya bisa dilakukan pembetulan. Untuk nanya mengenai PPBJnya iya bisa konfirm ke inswnya.	RIGAR TABAH PRIMADANA
183070	09 Maret 2022	Tanya-SC	PPh	P3B indo-singapore atas royalti terkait tarif baru, implementasinya kapan ya? 11 mei 2021, jan 2022, atau yg lain	Untuk p3b indo-singapura yg baru sesuai Perpres 35/2021 berlaku efektif mulai 1 januari 2022 sesuai se-50/2021 ya nan.	Untuk p3b indo-singapura yg baru sesuai Perpres 35/2021 berlaku efektif mulai 1 januari 2022 sesuai se-50/2021 ya nan.	RIGAR TABAH PRIMADANA
183071	09 Maret 2022	Tanya-SC	PPN	hallo min, mau tanya kalau ada kiriman ke free trade zone kan biasa pake PPFTZ. Nah aturan yg baru ini supaya bsa terbit fp 070 apa dharuskan input no sppb jg? Krn awal2 yg berlaku kan untuk dok BC 4.0 . Kalau yg PPFTZ ini sepengetahuan saya berlaku mulai tgl 2 Feb?	Untuk penyerahan BKP ke kawasan bebas dokumen yang dibutuhkan dan dimasukan di fp 07 adalah nomor PPBJ, sedangkan SPPB bc 4.0 untuk pemasukan BKP ke kawasan berikat. Untuk endorsement masih jadi syarat untuk dapet fasilitas tidak dipungut sesuai pasal 3 pmk 173/2021. Syarat dan ketentuannya apa aja, bisa cek pasal 8nya. PMK-173/2021 mulai berlaku setelah 2 (dua) bulan terhitung sejak tanggal diundangkan 2 desember 2021, atau mulai berlaku 2 februari 2022.	Untuk penyerahan BKP ke kawasan bebas dokumen yang dibutuhkan dan dimasukan di fp 07 adalah nomor PPBJ, sedangkan SPPB bc 4.0 untuk pemasukan BKP ke kawasan berikat. Untuk endorsement masih jadi syarat untuk dapet fasilitas tidak dipungut sesuai pasal 3 pmk 173/2021. Syarat dan ketentuannya apa aja, bisa cek pasal 8nya. PMK-173/2021 mulai berlaku setelah 2 (dua) bulan terhitung sejak tanggal diundangkan 2 desember 2021, atau mulai berlaku 2 februari 2022.	RIGAR TABAH PRIMADANA
183072	09 Maret 2022	Tanya-SC	PPh	Maaf ka maksud aku draft SPT. PPh 21 bulan Januari dengan status pembetulan. Trus saat proses pembetulan aku klik posting 2x jadi double input bukti potongnya ???? masa harus hapus satu2 ka? https://twitter.com/xoloveley/status/1501451810040545286	Coba boleh dipastiin ya mas ini dia cuma double posting apa double input bupot 21nya juga. Nanti bisa cek di menu spt 21-daftar bupot disitu bupotnya dobel apa enggak. Kalo bupotnya gak dobel lalu klik posting dua kali harusnya gak masalah gak akan menambah jumlah daftar tagihan. Kalo memang dia double input bupot, iya mas, untuk saat ini di ebupot unifikasi ip 21 belum ada menu untuk hapus beberapa bupot sekaligus. Jadi memang opsinya hanya bisa dihapus satu per satu.	Coba boleh dipastiin ya mas ini dia cuma double posting apa double input bupot 21nya juga. Nanti bisa cek di menu spt 21-daftar bupot disitu bupotnya dobel apa enggak. Kalo bupotnya gak dobel lalu klik posting dua kali harusnya gak masalah gak akan menambah jumlah daftar tagihan. Kalo memang dia double input bupot, iya mas, untuk saat ini di ebupot unifikasi ip 21 belum ada menu untuk hapus beberapa bupot sekaligus. Jadi memang opsinya hanya bisa dihapus satu per satu.	RIGAR TABAH PRIMADANA
183073	09 Maret 2022	Tanya-SC	Lainnya	saya mau buat NPWP online tapi webnya tidak bisa dibuka. apakah gangguan atau memang tidak bisa lewat online? Apakah ereg error?	Ini pada saat akses web eregnya kan mas? Belum ada info error ereg, tapi kucoba emang lama dan butuh berapa kali coba buat akses web ama masuk ke akun eregnya. Bisa coba cara standar dulu mas, seperti clear cache & cookies, ganti browser, gunakan private windows, ganti koneksi internet, ganti perangkat dan dicoba secara berkala.	Ini pada saat akses web eregnya kan mas? Belum ada info error ereg, tapi kucoba emang lama dan butuh berapa kali coba buat akses web ama masuk ke akun eregnya. Bisa coba cara standar dulu mas, seperti clear cache & cookies, ganti browser, gunakan private windows, ganti koneksi internet, ganti perangkat dan dicoba secara berkala.	RIGAR TABAH PRIMADANA
183074	09 Maret 2022	Tanya-SC	PPh	pekerjaan bebas . Netto dibawah 60 juta. mau tanya, sy tahun sebelumnya lapor SPT bukti potong dari kantor. Tetapi tahun lalu sy tidak kerja lagi Krn pandemi. Sy kerja narik gojek. Sy dapat laporan pendapatan kotor selama 1 tahun. Apakah nanti yg dilaporkan pendapatan kotor atau net ya min? Krn 35% u bbm Apakah masih menggunakan formulir SPT 1770. Atas penghasilan yang terima, jika menggunakan norma maka masuk ke 1770-I bagian B, jika menggunakan pembukuan masuk ke 1770-I bagian A? https://twitter.com/Yehezkiel_Sound/status/1501432117011484673	Halo mas, apabila memang hubungan antara driver dengan perusahaan/pemberi kerjanya ini memang dianggap sebagai mitra driver bukan pegawai, memang bisa masuk ke pekerjaan bebas/usaha. Untuk penghasilan dari pekerjaan bebas/usaha iya memakai 1770 polos. Atas penghasilan yang terima, jika pekerjaan bebas yg menggunakan norma maka masuk ke 1770-I bagian B apabila memang dia menyampaikan pemberitahuan penggunaan NPPN. Sebenernya driver ojol yg mitra (bukan sebagai pegawai) juga bisa masuk pp 23, karena kalo diliat dari Pasal 2 ayat 4 PP 23, ojek online ini gak termasuk pekerjaan bebas yg dikecualikan. Kita jelasin normatif aja kriteria2 nya, baiknya juga tetap konsultasi dengan KPP untuk penegasan perlakuan dan masuknya dimana.	Halo mas, apabila memang hubungan antara driver dengan perusahaan/pemberi kerjanya ini memang dianggap sebagai mitra driver bukan pegawai, memang bisa masuk ke pekerjaan bebas/usaha. Untuk penghasilan dari pekerjaan bebas/usaha iya memakai 1770 polos. Atas penghasilan yang terima, jika pekerjaan bebas yg menggunakan norma maka masuk ke 1770-I bagian B apabila memang dia menyampaikan pemberitahuan penggunaan NPPN. Sebenernya driver ojol yg mitra (bukan sebagai pegawai) juga bisa masuk pp 23, karena kalo diliat dari Pasal 2 ayat 4 PP 23, ojek online ini gak termasuk pekerjaan bebas yg dikecualikan. Kita jelasin normatif aja kriteria2 nya, baiknya juga tetap konsultasi dengan KPP untuk penegasan perlakuan dan masuknya dimana.	RIGAR TABAH PRIMADANA
183075	17 Maret 2022	Tanya-SC	PPh	@kring_pajak siang, ingin bertanya saat mengajukan perubahan status WNI menjadi SPLN apabila sudah melampirkan SKD/CoR apakah wajib melampirkan bukti pembayaran pajak di LN? terima kasih https://twitter.com/YunitaRiezka/status/1504362722422824962	di awal bisa dikonfirmasi mas apakah yg dimaksud pengajuan Surat Keterangan WNI Memenuhi Persyaratan Menjadi SPLN? Apabila iya, untuk tata cara pengajuan dan syarat2nya bisa mengacu ke pasal 4 pmk-18/2021. Di pasal tersebut disebutkan untuk dokumen yg perlu dilampirkan adalah dokumen yang dapat membuktikan pemenuhan persyaratan sebagaimana dimaksud dalam Pasal 3 ayat (1) huruf c, ayat (2), ayat (3), ayat (4), dan ayat (5) huruf a. Tidak disebutkan spesifik dokumennya berupa apa.	di awal bisa dikonfirmasi mas apakah yg dimaksud pengajuan Surat Keterangan WNI Memenuhi Persyaratan Menjadi SPLN? Apabila iya, untuk tata cara pengajuan dan syarat2nya bisa mengacu ke pasal 4 pmk-18/2021. Di pasal tersebut disebutkan untuk dokumen yg perlu dilampirkan adalah dokumen yang dapat membuktikan pemenuhan persyaratan sebagaimana dimaksud dalam Pasal 3 ayat (1) huruf c, ayat (2), ayat (3), ayat (4), dan ayat (5) huruf a. Tidak disebutkan spesifik dokumennya berupa apa.	RIGAR TABAH PRIMADANA
183076	17 Maret 2022	Tanya-SC	E-Faktur	https://twitter.com/auliyanti_nrbch/status/1504357346012983298 in jd hrs ganti faktur atau bagaimana ya mas/mbak?	bisa digali aja dulu ya mbak error tersebut muncul pas dia upload fp normal atau pas upload fp pengganti untuk ubah nomor ppbjnya di bagian nomor dokumen pendukung.	bisa digali aja dulu ya mbak error tersebut muncul pas dia upload fp normal atau pas upload fp pengganti untuk ubah nomor ppbjnya di bagian nomor dokumen pendukung.	RIGAR TABAH PRIMADANA
183077	17 Maret 2022	Tanya-SC	PPh	Halo @kring_pajak saya ingin lapor pph 26 melalui ebupot unifikasi. Tapi ada keterangan akd tidak ditemukan, padahal nomor skd yang saya gunakan sudah sesuai dan dapat digunakan untuk lapor pph 26 bulan lalu Klo udah dipastikan nomor skd dan periodenya sesuai, itu gumana ya, apakah ada info error?	Kalo udah dipastiin sudah benar pengisian skd ama periode masa berlaku skd masih mencakup masa terutang pph 26 tersebut, bisa dipastikan untuk pengisian TIN dan negara pas input pph non residen udah sesuai dengan yg ada di skdnya yaa. WP bisa cek mandiri juga di menu djponline-layanan-eskd.	Kalo udah dipastiin sudah benar pengisian skd ama periode masa berlaku skd masih mencakup masa terutang pph 26 tersebut, bisa dipastikan untuk pengisian TIN dan negara pas input pph non residen udah sesuai dengan yg ada di skdnya yaa. WP bisa cek mandiri juga di menu djponline-layanan-eskd.	RIGAR TABAH PRIMADANA
183078	17 Maret 2022	Tanya-SC	PPN	jika uang mukanya sebelum tgl 31 Maret 2022, dan pelunasannya setelah 31 Maret 2022, dan kontrak/INV dibuat sebelum tgl 31 Maret 2022? https://twitter.com/Alvnta4/status/1504341284584292352	Seperti jawaban tweet sebelumnya ya mas, liat saat seharusnya fp dibuat/saat terutangnya PPN, apabila saat seharusnya buat FP sesuai pasal 69 pmk-18/2021 setelah tanggal 31 Maret 2022, tarif PPN yang diterapkan adalah 11%. Boleh disampaikan juga sampai saat ini untuk teknisnya, termasuk perlakuan untuk transaksi uang muka dan pelunasan yg melewati periode waktu perubahan tarif sendiri memang belum ada ketentuan turunannya. (ada isu juga kenaikan tarifnya ditunda)	Seperti jawaban tweet sebelumnya ya mas, liat saat seharusnya fp dibuat/saat terutangnya PPN, apabila saat seharusnya buat FP sesuai pasal 69 pmk-18/2021 setelah tanggal 31 Maret 2022, tarif PPN yang diterapkan adalah 11%. Boleh disampaikan juga sampai saat ini untuk teknisnya, termasuk perlakuan untuk transaksi uang muka dan pelunasan yg melewati periode waktu perubahan tarif sendiri memang belum ada ketentuan turunannya. (ada isu juga kenaikan tarifnya ditunda)	RIGAR TABAH PRIMADANA
